City,City ID,Country,Lat,Long,Temp,Max Temp,Humidity,Wind Speed,Cloud Cover
Tuktoyaktuk,2260,CA,-26.65,15.16,73.4,73.4,56,18.34,6
George Town,7795,MY,57.05,-135.33,43.77,44.6,70,4.7,90
Touros,4533,BR,39.45,-86.18,47.73,55.4,93,14.99,90
Nanortalik,7877,GL,21.44,-157.84,72.12,77,61,8.05,90
Longyearbyen,1899,SJ,-33.93,18.42,66.58,68,52,6.93,40
Muros,1943,ES,-33.01,17.94,66.2,66.2,48,11.41,20
Aklavik,2005652,CA,-0.74,-90.35,75.99,75.99,96,1.01,99
Fare,81,PF,65.61,-37.64,30.2,30.2,86,17.22,90
Lompoc,3598,US,42.16,-72.33,53.69,55.99,93,10.29,90
Amritsar,4540,IN,33.03,-115.42,60.98,62.01,55,14.99,1
Kapaa,1675,US,66.02,12.63,35.29,35.6,64,32.21,75
Vila Velha,879,BR,46.68,-72.05,39.99,41,83,2.24,1
Vaini,5863,TO,38.84,-97.61,24.44,25,68,8.05,1
Carnarvon,5769,AU,38.42,-121.42,49.89,53.01,87,5.82,1
Hithadhoo,3646,MV,41.37,-81.85,58.55,61,87,13.87,90
Ahipara,8305,NZ,-38,-57.56,59,59,93,6.46,90
Avarua,2497,CK,2.04,45.34,89.6,89.6,62,11.41,20
Hobart,9545,AU,-42.78,147.06,52.81,55.4,76,5.82,75
Kahului,2127,US,-21.36,55.77,74.35,82.4,74,17.22,20
San Patricio,2188,MX,-0.72,8.78,89.6,89.6,62,9.17,20
Kavieng,3584,PG,37.68,-113.06,30.2,30.2,58,4.7,1
Pevek,2147,RU,-25.03,46.38,86,86,66,18.34,0
Changji,951,CN,65.28,-126.83,14,14,78,2.24,75
Iqaluit,9304,CA,11.92,109.16,84.2,84.2,74,17.22,40
Panzhihua,1556,CN,52.15,-6.99,50.83,53.01,66,21.92,44
Dzhalka,8352,RU,-15.6,-56.1,75.2,75.2,83,4.7,1
Qeshm,3680,IR,36.29,-76.25,69.1,71.01,73,18.34,90
Nhulunbuy,2031989,AU,-46.28,169.85,39.99,39.99,76,3,53
Lüderitz,2008823,NA,-31.63,-60.7,64.2,64.99,81,5.99,98
Chokwé,7959,MZ,33.73,135.98,50,50,81,23.04,75
Sitka,6455,US,43.65,0.58,62.56,64.99,52,11.41,95
Bud,8772,US,13.22,-59.52,78.8,78.8,74,17.22,40
‘Āhuimanu,4127,US,40.6,-124.16,41.14,45,100,9.17,20
Cape Town,3273,ZA,42.6,-73.97,54.86,57.2,82,19.46,90
Batagay,7683,RU,64.86,-147.8,35.67,39.2,74,4.7,90
Saldanha,8152,ZA,15.03,120.69,86.14,87.8,66,9.17,75
Rafai,4245,CF,31.44,-97.74,41.32,43,65,12.75,1
Puerto Ayora,1008,EC,55.28,-114.77,6.8,6.8,71,2.24,1
Bilma,9522,NE,-28.77,114.6,74.08,75.2,64,14.99,7
Khatanga,3888,RU,41.37,-73.41,53.2,55.99,93,12.75,90
Provideniya,8013,RU,28.37,129.48,61.68,62.6,48,23.04,75
Dingle,8446,PH,-23.99,-46.26,60.98,62.6,82,5.82,90
Tasiilaq,8074,GL,35.13,140.3,45.68,46.4,87,23.04,75
Palmer,6367,US,43.22,27.92,60.73,68,26,18.34,1
Āsosa,7411,ET,26.33,43.98,82.4,82.4,32,18.34,0
Harper,7955,LR,35.73,140.83,44.04,45,93,35.57,75
Butaritari,7680,KI,60.55,-151.26,33.89,35.01,100,4.59,90
Saskylakh,9566,RU,-34.93,138.6,62.15,64,63,4.7,28
Qaanaaq,8030,GL,35.5,134.23,50,50,81,36.91,75
Codrington,6082,AU,44.76,-85.62,39.67,43,87,14.99,90
Tibacuy,2008291,CO,32.67,-17.1,63.43,66.99,53,1.01,13
Imperial,47,US,60.72,-46.03,32,32,94,14.99,100
Sandnessjøen,8669,NO,4.93,-52.33,77,77,100,9.28,90
Saint-Marc-des-Carrieres,6597,CA,43.1,5.88,64.71,68,42,14.99,100
Salina,1007,US,62.46,-114.35,-0.85,1,70,9.17,20
Laguna,6883,US,38.52,-28.7,64.4,64.4,59,9.17,40
Berea,1596,US,62.23,-6.59,39.2,39.2,64,13.87,97
Jambi City,9490,ID,-17,145.43,74.3,78.8,74,5.82,25
Tomatlán,8794,MX,12.15,-68.27,80.6,80.6,74,14.99,89
Teya,9525,RU,-33.87,121.9,66.2,66.2,82,10.29,90
Mar del Plata,7741,AR,55.34,-131.65,41,41,65,6.93,90
Mogadishu,876,SO,45.62,-62,36.45,39.99,64,5.82,20
New Norfolk,7489,AU,36.66,51.42,53.6,53.6,87,5.28,90
Saint-Philippe,6915,RE,46.48,24.1,67.32,68,32,6.93,40
Port-Gentil,2061,GA,-20.34,57.76,80.33,82.4,69,17.22,75
Cedar City,2019717,US,-38.55,-58.74,57,57,99,10.56,100
Kānt,9364,IN,-10.17,123.58,80.6,80.6,94,6.93,75
Morondava,1633,MG,71.04,27.85,33.98,35.6,86,21.92,90
Amboasary,6430,MG,40.83,-6,54.34,55,76,5.82,75
Marsh Harbour,7877,BS,21.4,-157.74,72.18,77,61,8.05,90
Norman Wells,7668,CA,57.79,-152.41,39.2,39.2,93,4.7,100
Tommot,2020865,RU,-32.03,-52.1,59,59,98,14.14,65
Cam Ranh,5323,VN,34.02,-84.36,60.57,64.99,93,10.29,1
Dunmore East,2019885,IE,-26.25,-49.52,57.42,62.01,91,3,98
Tiksi,1218,RU,5.79,0.9,89.6,89.6,66,11.41,20
Cuiabá,9255,BR,17.65,83.27,95,95,50,11.41,20
Hobyo,8315,SO,-41.15,-71.31,28.4,28.4,86,4.7,7
Elizabeth City,6960,US,40.87,35.46,60.8,60.8,26,4.7,0
Kaitangata,7477,NZ,27.15,57.08,73.4,73.4,69,26.4,90
Santa Fe,8337,AR,-21.64,-41.05,69.8,69.8,88,4.7,59
Shingū,8046,JP,37.48,141,38.25,44.01,100,20.8,75
Catuday,42,PH,-9.44,147.18,82.4,82.4,78,12.75,40
Auch,6896,FR,40.16,-8.33,55.33,60.01,81,3.36,75
Bathsheba,2020859,BB,18.28,-70.33,79.47,81,83,3,17
Upernavik,896,GL,50.02,-125.24,39.09,39.2,55,3.36,20
Fortuna,6899,US,37.8,-25.58,62.6,62.6,77,12.75,75
Guerrero Negro,2031654,MX,-40.96,175.66,51.85,53.01,87,5.01,36
Rocha,8846,UY,66.42,112.4,32,32,88,2.24,1
Kavaratti,8512,IN,-41.87,-73.82,44.6,44.6,100,2.24,90
Albany,4403,US,41.17,-74.05,54.09,57,100,10.29,90
Beitbridge,7684,ZW,64.84,-147.72,35.42,37.4,74,6.93,90
Adrar,8826,MR,47.8,67.71,60.8,60.8,35,17.9,90
Kumul,9020,CN,55.75,38,57.16,57.2,24,11.18,94
Te Anau,9361,NZ,-3.7,128.18,80.6,80.6,88,6.93,40
College,949,US,55.1,-105.28,1.4,1.4,84,5.82,20
San Fernando,5718,PH,36.9,-104.44,19.8,21.2,85,8.05,90
Gatesville,7986,US,32.69,128.84,51.8,51.8,40,14.99,20
Slave Lake,5321,CA,45.52,-122.68,39.9,45,45,3.29,1
Geraldton,6900,AU,41.54,-8.62,55.92,60.01,54,4.7,20
Bethel,5832,US,37.1,-113.58,45.48,51.8,23,4.7,75
Salinópolis,6902,BR,33.08,-16.33,64.09,64.4,72,13.87,40
Tambopata,9014,PE,40.43,71.72,61.83,64.4,82,9.17,40
Naze,984,JP,54.52,-128.6,29.73,30.2,74,3.36,5
Guarujá,4955,BR,48.23,-101.3,15.24,16,72,10.29,20
Taoudenni,4258,ML,44.63,-88.04,31.37,32,94,20.8,90
Katsuura,93,JP,63.44,-20.27,44.6,44.6,93,23.04,90
Varna,1000,BG,49.42,-82.43,26.6,26.6,92,16.11,90
Buraidah,812,SA,50.23,-63.6,32,32,93,2.24,90
Hasaki,4776,JP,39.18,-84.53,56.41,57.99,100,4.7,90
Kenai,2061,US,-20.41,57.7,80.65,82.4,69,17.22,75
Adelaide,2827,AU,33.19,-82.53,64.42,66.2,90,9.17,90
Humaitá,9549,BR,-41.45,147.17,54.28,55.99,81,4.7,90
Nangomba,1352,TZ,65.97,29.18,33.8,33.8,90,6.93,90
Tottori-shi,8391,JP,-6.98,-34.83,80.6,80.6,83,4.7,20
Traverse City,6390,US,39.22,-2.15,57.58,59,76,5.82,20
Banda Aceh,6313,ID,46.83,-100.89,15.66,19.4,78,10.29,90
Sovetskiy,1398,RU,51.59,-3,49.73,53.01,57,25.28,40
Ponta do Sol,7348,PT,-43.53,172.63,45.27,48.2,49,18.34,40
Qaqortoq,8793,GL,18.43,-65.83,76.86,80.6,78,16.11,40
Turukhansk,5052,RU,29.85,-90.11,64.74,70,100,3.36,90
Rawson,6998,AR,38.49,43.38,50,50,53,9.17,40
Cayenne,1016,GF,55.3,-123.17,19.4,19.4,79,2.24,1
La Seyne-sur-Mer,8160,FR,14.31,121.11,86.22,87.8,62,8.05,40
Yellowknife,5967,CA,48.28,-116.55,23.94,28,85,3.49,1
Ribeira Grande,8001,PT,31.6,131.37,47.91,51.8,61,14.99,20
Klaksvík,3409,FO,41.14,-73.36,52.86,55.4,93,13.87,90
Norsup,7107,VU,18.03,-77.85,77.7,78.8,74,5.82,20
Mareeba,8422,AU,-15.86,-38.88,73.4,73.4,94,3.36,90
Angoche,1682,MZ,70.37,31.11,31.1,32,96,21.92,75
Kralendijk,4322,BQ,37.46,-122.43,50.49,54,81,6.93,90
Esperance,1157,AU,6.63,8.06,87.8,87.8,70,5.82,75
Dikson,6640,RU,36.09,28.02,70.25,71.6,56,5.82,20
Ketchikan,2011957,US,20.22,-87.47,81,81,91,5.99,33
Gandorhun,5254,SL,34.15,-119.2,53.33,57.2,87,4.7,90
Blagoyevo,76,RU,64.25,-15.21,42.8,42.8,93,20.8,90
Zhigansk,8514,RU,-29.95,-71.34,60.8,60.8,77,3.36,3
Camaná,891,PE,53.83,-101.25,3.2,3.2,71,8.05,90
Antigonish,781,CA,48.97,-57.95,26.2,34,92,2.86,20
Ginir,19458,ET,48.93,-125.55,35.82,36,87,3.02,41
Kviteseid,7614,NO,25.29,51.53,75.42,79,73,26.4,75
Kropotkin,8137,RU,26.12,127.67,62.92,64,59,24.16,75
Chui,2061,UY,-19.98,57.61,79.61,82.4,69,17.22,75
Chālūs,1760,IR,55.43,13.82,44.96,48,38,27.51,40
Luduş,9594,RO,-34.58,150.86,58.98,63,87,1.12,66
Kidal,3250,ML,38.42,-108.27,28.71,32,42,3.36,1
Kysyl-Syr,2002820,RU,-29.45,-51.81,58.33,59,95,4.36,41
Marawi,9501,PH,-25.3,152.85,72.59,73,68,5.82,93
Ambatofinandrahana,6517,MG,43.08,2.83,56.59,60.8,93,12.75,100
Bambous Virieux,6533,MU,49.58,0.33,56.37,61,71,24.16,75
Necochea,2004498,AR,23.45,-110.22,56.41,64.99,84,7.14,0
Kupang,985,ID,43.15,-81.68,50.09,52,100,3.36,90
Mehamn,7770,NO,64.5,-165.41,26.6,26.6,100,1.95,40
Salamanca,8156,ES,26.18,127.76,62.92,64,51,17.22,75
Hearst,1876,CA,57.15,24.86,39.78,42.8,87,4.7,75
Kailua,4980,US,36.62,-121.92,51.35,54,93,3.36,90
Alekseyevsk,9487,RU,-25.24,130.99,87.8,87.8,20,6.93,37
Funadhoo,7014,MV,36.54,32,73.4,73.4,56,8.05,20
Saint Paul Harbor,5239,US,43.41,-124.22,37.08,39.99,100,3.36,1
Rio Grande,9490,BR,-16.92,145.77,75.79,78.8,74,5.82,23
Roswell,8859,US,50.24,127.49,55.4,55.4,35,17.9,78
Rio Negrinho,8491,BR,-45.58,-72.07,41,41,93,5.82,20
Anloga,2389,GH,6.3,-10.8,82.4,82.4,78,4.7,40
Yārāda,7827,IN,61.58,-149.44,35.06,37.4,93,5.82,90
Coahuayana Viejo,6861,MX,35.84,14.54,65.64,66.99,68,12.75,5
Namatanai,7156,PG,20.7,-105.2,62.6,62.6,88,4.7,5
Bariloche,2444,AR,20.93,-17.03,71.6,71.6,56,25.28,0
Merzifon,7497,TR,27.67,54.14,62.6,62.6,93,9.17,90
Nizāmābād,2008021,IN,43.75,-81.72,49.59,50,86,8.77,100
Mīnāb,2021860,IR,38.84,0.11,60.73,64,76,5.01,94
São João da Barra,4930,BR,46.41,-105.84,17.28,17.6,85,12.75,90
Lagoa,9585,PT,-20.32,118.57,86,86,66,9.17,40
Namie,2200,JP,-23.86,35.38,86,86,62,10.27,0
Port Moresby,2271,PG,-17.5,24.27,89.6,89.6,38,5.82,12
Bāgli,7562,IN,17.02,54.09,86,86,62,16.11,75
Sovetskaya Gavan',2165,RU,-6.13,12.37,84.2,84.2,83,6.93,75
Lata,6616,PT,35.02,25.68,66.18,68,68,6.93,2
Mīrābād,2378,AF,28.03,-15.5,65.71,71.6,56,17.22,40
Baní,9425,DO,2.43,103.84,86,86,79,6.93,79
Campbell River,5441,CA,41.7,-71.42,53.17,55.99,93,17.22,90
Rabo de Peixe,9560,PT,-37.83,140.77,51.8,51.8,87,5.82,22
Kimamba,9216,TZ,9.7,78.48,100.4,100.4,33,6.93,40
Dongtai,6776,CN,45.17,10.78,70.03,73,34,4.7,97
Chokurdakh,6942,RU,46.19,9.02,66.69,70,36,4.7,63
Oranjemund,2220,NA,13.83,20.83,96.8,96.8,7,4.7,82
Masterton,1750,NZ,58.39,13.44,41.97,45,33,20.8,94
Udachny,859,RU,49.78,-74.85,35.6,35.6,69,11.41,90
Glubokiy,6958,RU,41.02,34.04,59,59,22,6.93,0
Ancud,9412,CL,3.78,98.68,86,86,84,4.7,40
Rockland,200229,US,46.08,127.4,69.01,69.01,15,5.17,1
Srandakan,3791,ID,32.45,-82.92,64.24,69.8,100,10.65,90
Fairbanks,1586,US,55.36,10.58,45.03,46.4,42,16.11,0
Gorontalo,8293,ID,-51.62,-69.22,48.2,48.2,76,14.99,89
Lavrentiya,8499,RU,-36.72,-73.12,42.8,42.8,87,4.7,8
Zhezkazgan,6116,KZ,40.52,-111.94,33.22,39,69,3.89,90
Zheleznodorozhnyy,1074,RU,36.37,6.61,62.6,62.6,67,5.82,75
Pāsighāt,4755,IN,41.4,-82.22,57.56,61,82,14.99,90
Port Lincoln,90,AU,63.84,-22.43,44.6,44.6,100,23.04,90
Ambon City,8488,ID,-23.65,-70.4,59,59,87,3.36,10
Tevriz,5721,RU,35.28,-93.13,39.52,43,81,13.87,90
Potiskum,8648,NG,-16.5,-68.15,35.6,35.6,51,4.7,52
Teknāf,3262,BD,33.7,-117.77,54.14,59,93,3.36,90
Gilgit,9483,PK,-23.7,133.88,78.8,78.8,31,10.29,34
La Ronge,6717,CA,40.56,8.32,75.2,75.2,29,3.36,78
Raton,7587,US,26.46,68.32,109.4,109.4,15,16.11,40
Yambio,5817,SS,37.77,-122.42,50.27,54,81,4.7,20
Haines Junction,8430,CA,-29.68,-53.81,59,59,100,4.7,90
Fukuechō,4763,JP,36.21,-115.07,55.04,57.99,100,8.05,1
Inyonga,8413,TZ,-9.67,-35.74,77,77,94,4.7,20
Portland,8691,US,-13.7,-76.22,68,68,88,1.12,40
Aksu,906,CN,48.4,-89.32,27.01,28.4,79,17.22,90
Maragogi,7396,BR,18.39,42.45,72.5,73.4,56,14.99,75
Kokopo,6899,PG,37.72,-25.43,62.6,62.6,77,12.75,75
Kondinskoye,6988,RU,40,30.17,62.42,64.4,38,10.29,0
Vostok,7432,RU,31.67,38.66,71.6,71.6,24,4.7,0
Igarka,8053,RU,40.2,140.02,40.51,44.6,73,12.75,40
Leh,5931,IN,38.58,-90.41,36.28,37.99,74,18.34,90
Barcelos,2424,PT,15.49,-13.18,93.2,93.2,30,9.17,37
Yalutorovsk,1852,RU,53.42,7.73,46.35,50,48,21.92,40
Saint George,9021,US,55.14,37.47,57.4,57.99,16,11.18,98
Mezen',1472,RU,51.03,-4.22,50.79,55,66,21.92,20
Camacha,8818,PT,43.36,76.86,55.4,55.4,100,6.71,90
Yangi Marg`ilon,4105,UZ,35.2,-111.65,40.05,50,93,3.36,90
Terrace,3441,CA,46.81,-100.78,16.11,19.4,62,11.41,75
Minot,1013,US,50.03,-66.87,25.09,27,92,6.93,20
Mizdah,9605,LY,-32.95,151.67,59.54,64,87,5.08,92
Acarí,2030474,PE,-32.41,-63.24,55.99,55.99,98,1.01,100
Suamico,8846,US,66,111.5,32,32,88,2.24,0
Vestmannaeyjar,8993,IS,42.06,59.38,61.72,62.6,28,13.87,75
Kapuskasing,9498,CA,-21.15,149.2,77.76,78.8,74,13.87,40
Havre-St-Pierre,9495,CA,-20.73,139.5,78.8,78.8,26,5.82,1
Hamilton,8786,US,18.42,-64.62,80.53,81,69,13.87,20
Klenovyy,1419,UA,51.38,1.39,47.43,50,71,23.04,75
Saint-Augustin,8143,CA,24.8,125.28,63.34,64.4,45,13.87,75
Mahébourg,5344,MU,39.95,-75.16,57.06,59,87,14.99,90
Khovd,2061,MN,-20.52,57.52,80.82,82.4,69,17.22,75
Cidreira,2004009,BR,37.96,-8.87,60.01,60.01,83,5.01,53
Avera,2061,US,-20.01,57.66,80.24,82.4,69,17.22,75
Yar-Sale,9129,RU,25.48,84.42,98.6,98.6,22,4.7,0
